OBJECTID,Join_Count,TARGET_FID,Id,osm_id,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,,,,X,Y
14,3,13,0,427738068,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.746108 ,30.430805 
15,3,14,0,104375115,trunk, , , , ,8,ref""=>""S244"",,,,113.746327 ,30.429818 
16,3,15,0,427738057,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",,,,113.746585 ,30.425341 
17,3,16,0,240490640,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.746607 ,30.430713 
18,3,17,0,103405842,trunk, , , , ,8, ,,,,113.747575 ,30.429832 
19,3,18,0,427738068,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.749459 ,30.430803 
20,3,19,0,427738069,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.750783 ,30.430718 
21,3,20,0,810150839,primary, , , , ,7,ref""=>""S107"",,,,113.761648 ,30.327689 
28,3,27,0,481332221,primary, , , , ,7,ref""=>""X019"",,,,113.773237 ,30.316110 
36,3,35,0,204897665,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",,,,113.804053 ,30.439198 
43,4,42,0,624104039,secondary, , , , ,6,ref""=>""X030"",,,,113.817438 ,30.266822 
46,4,45,0,104386690,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.829744 ,30.454757 
47,4,46,0,104386694,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.829836 ,30.454552 
49,4,48,0,972817437,construction, , , , ,0,construction""=>""motorway"",,,,113.830865 ,30.271736 
50,3,49,0,446634930,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",,,,113.832381 ,30.450349 
53,3,52,0,261739970,secondary_link, , , , ,6, ,,,,113.837077 ,30.267015 
63,4,62,0,972817437,construction, , , , ,0,construction""=>""motorway"",,,,113.846491 ,30.280715 
64,3,63,0,104386675,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.847588 ,30.454788 
68,3,67,0,446040793,secondary, , , , ,6,"""lanes""=>""2"",""maxspeed""=>""60""",,,,113.848770 ,30.506697 
70,3,69,0,261739962,secondary, , , , ,6,ref""=>""X030"",,,,113.849293 ,30.264511 
75,3,74,0,624104041,primary, , , , ,7, ,,,,113.850721 ,30.255524 
79,3,78,0,104386673,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",,,,113.852836 ,30.454313 
85,3,84,0,361773544,primary, , , , ,7, ,,,,113.854653 ,30.257669 
